run_id,model_name,accuracy,precision,recall,f1_score,params
4c3c6326d2e146d8910330a835764697,SVM,1.0,1.0,1.0,1.0,"{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}"
7553c2fb5037454fb34a9f722705f3e2,SVM,1.0,1.0,1.0,1.0,"{'C': 0.1, 'kernel': 'linear', 'gamma': 'auto'}"
bbcd3f0880fc44c6b6f955a6800bd987,SVM,1.0,1.0,1.0,1.0,"{'C': 1, 'kernel': 'linear', 'gamma': 'scale'}"
c965d547cce2457f8893626e5b48ba46,SVM,1.0,1.0,1.0,1.0,"{'C': 1, 'kernel': 'rbf', 'gamma': 'scale'}"
8708de52bf0640b98f64d9b74222de08,SVM,1.0,1.0,1.0,1.0,"{'C': 1, 'kernel': 'linear', 'gamma': 'auto'}"
d3e473b51bdd4211b3957d0500c215d8,SVM,1.0,1.0,1.0,1.0,"{'C': 1, 'kernel': 'rbf', 'gamma': 'auto'}"
ccb2afd1f6f242998a4a37fd299801f7,RandomForest,1.0,1.0,1.0,1.0,"{'n_estimators': 50, 'max_depth': 10, 'random_state': 42}"
6ba116c51feb48c8b4bdd03cc8dec3db,SVM,1.0,1.0,1.0,1.0,"{'C': 10, 'kernel': 'rbf', 'gamma': 'auto'}"
d5b51d28022b4b3583efddc6192b38f1,SVM,1.0,1.0,1.0,1.0,"{'C': 10, 'kernel': 'rbf', 'gamma': 'scale'}"
52b0789e1f9f4e88ab6ee3e76e36a7fa,RandomForest,1.0,1.0,1.0,1.0,"{'n_estimators': 50, 'max_depth': None, 'random_state': 42}"
7d0641a0db2b4df0a824cc332e809319,RandomForest,1.0,1.0,1.0,1.0,"{'n_estimators': 50, 'max_depth': 5, 'random_state': 42}"
024b7de68fdc457fb18c5c53585ebdf2,RandomForest,1.0,1.0,1.0,1.0,"{'n_estimators': 200, 'max_depth': 10, 'random_state': 42}"
d0a085b3157241a5a30d1c25655fc003,RandomForest,1.0,1.0,1.0,1.0,"{'n_estimators': 200, 'max_depth': None, 'random_state': 42}"
1442b33964ff4521bd8168f8ca2068e4,RandomForest,1.0,1.0,1.0,1.0,"{'n_estimators': 200, 'max_depth': 5, 'random_state': 42}"
a951866702ec417d9002c34a21a7ba90,RandomForest,1.0,1.0,1.0,1.0,"{'n_estimators': 100, 'max_depth': None, 'random_state': 42}"
34db7deac6f8423284120d80a205de3c,RandomForest,1.0,1.0,1.0,1.0,"{'n_estimators': 100, 'max_depth': 10, 'random_state': 42}"
4592f8ff740d48ce921b8b2b14c8a409,RandomForest,1.0,1.0,1.0,1.0,"{'n_estimators': 100, 'max_depth': 5, 'random_state': 42}"
2abd1de7cb624fc9ad775d60569fabe2,LogisticRegression,1.0,1.0,1.0,1.0,"{'C': 0.1, 'solver': 'saga', 'max_iter': 1000, 'random_state': 42}"
8cd0b818e0b34a2b9e1c49167d73494b,LogisticRegression,1.0,1.0,1.0,1.0,"{'C': 0.1, 'solver': 'newton-cg', 'max_iter': 1000, 'random_state': 42}"
1a20e8eb81e14c7e86de775278ab7305,LogisticRegression,1.0,1.0,1.0,1.0,"{'C': 0.1, 'solver': 'lbfgs', 'max_iter': 1000, 'random_state': 42}"
4d6eef47ed934cf1888c65b9472fb67b,LogisticRegression,0.9850746268656716,0.9860696517412935,0.9850746268656716,0.9852010365594893,"{'C': 1, 'solver': 'saga', 'max_iter': 1000, 'random_state': 42}"
68071cdc78664d1ca48be698498d6c98,SVM,0.9850746268656716,0.9860696517412935,0.9850746268656716,0.9852010365594893,"{'C': 10, 'kernel': 'linear', 'gamma': 'auto'}"
6d556b52fc0647d4a30ff56de03e00ec,SVM,0.9850746268656716,0.9860696517412935,0.9850746268656716,0.9852010365594893,"{'C': 10, 'kernel': 'linear', 'gamma': 'scale'}"
f67eff2e5f2d4b48b0dfd8ef6aa3c846,LogisticRegression,0.9850746268656716,0.9860696517412935,0.9850746268656716,0.9852010365594893,"{'C': 1, 'solver': 'lbfgs', 'max_iter': 1000, 'random_state': 42}"
011fdb1d6df3478cbb681c62c1b16001,LogisticRegression,0.9850746268656716,0.9860696517412935,0.9850746268656716,0.9852010365594893,"{'C': 1, 'solver': 'newton-cg', 'max_iter': 1000, 'random_state': 42}"
6e381c5d69f74f40a5bf113ac4ca4957,LogisticRegression,0.9850746268656716,0.9860696517412935,0.9850746268656716,0.9852010365594893,"{'C': 10, 'solver': 'newton-cg', 'max_iter': 1000, 'random_state': 42}"
f2e7a4ab262f463db2328503098d1d9a,LogisticRegression,0.9850746268656716,0.9860696517412935,0.9850746268656716,0.9852010365594893,"{'C': 10, 'solver': 'lbfgs', 'max_iter': 1000, 'random_state': 42}"
